"species";"status"
"Vireo philadelphicus";"Nicheur"
"Vireo gilvus";"Nicheur"
"Vireo olivaceus";"Nicheur"
"Vireo flavoviridis";"Visiteur (1)"
"Perisoreus canadensis";"Nicheur"
"Cyanocitta cristata";"Nicheur"
"Pica hudsonia";"Visiteur (4)"
"Corvus monedula";"Visiteur (1)"
"Corvus brachyrhynchos";"Nicheur"
"Corvus ossifragus";"Visiteur (2)"
"Corvus corax";"Nicheur"
"Alauda arvensis";"Visiteur (1)"
"Eremophila alpestris";"Nicheur"
"Riparia riparia";"Nicheur"
"Tachycineta bicolor";"Nicheur"
"Tachycineta thalassina";"Visiteur (1)"
"Stelgidopteryx serripennis";"Nicheur"
"Progne subis";"Nicheur"
"Hirundo rustica";"Nicheur"
"Petrochelidon pyrrhonota";"Nicheur"
"Petrochelidon fulva";"Visiteur (18)"
"Poecile atricapillus";"Nicheur"
"Poecile hudsonicus";"Nicheur"
"Baeolophus bicolor";"Nicheur"
"Sitta canadensis";"Nicheur"
"Sitta carolinensis";"Nicheur"
"Certhia americana";"Nicheur"
"Salpinctes obsoletus";"Visiteur (1)"
"Troglodytes aedon";"Nicheur"
"Troglodytes hiemalis";"Nicheur"
"Cistothorus platensis";"Nicheur"
"Cistothorus palustris";"Nicheur"
"Thryothorus ludovicianus";"Nicheur"
"Polioptila caerulea";"Nicheur"
"Regulus satrapa";"Nicheur"
"Regulus calendula";"Nicheur"
"Oenanthe oenanthe";"Nicheur"
"Sialia sialis";"Nicheur"
"Sialia currucoides";"Visiteur (12)"
"Myadestes townsendi";"Visiteur"
"Catharus fuscescens";"Nicheur"
"Catharus minimus";"Nicheur"
"Catharus bicknelli";"Nicheur"
"Catharus ustulatus";"Nicheur"
"Catharus guttatus";"Nicheur"
"Hylocichla mustelina";"Nicheur"
"Turdus pilaris";"Visiteur (9)"
"Turdus iliacus";"Visiteur (2)"
"Turdus philomelos";"Visiteur (1)"
"Turdus migratorius";"Nicheur"
"Ixoreus naevius";"Visiteur"
"Dumetella carolinensis";"Nicheur"
"Toxostoma rufum";"Nicheur"
"Mimus polyglottos";"Nicheur"
"Sturnus vulgaris";"Nicheur"
